landmark_name,slug,internal_unit_code,airbnb_listing_id,airbnb_url,booking_property_id,booking_com_url,trip_com_hotel_id,trip_com_url,guesty_listing_id,publication_status
Reef,reef-1-bedroom-pool-villa,A1,1531033065415432151,https://www.airbnb.com/rooms/1531033065415432151,,,,,,live
Sol,sol-1-bedroom-pool-villa,A2,1535960403199389719,https://www.airbnb.com/rooms/1535960403199389719,,,,,,live
Nalu,nalu-1-bedroom-pool-villa,A3,1528696130381899937,https://www.airbnb.com/rooms/1528696130381899937,,,,,,live
Marea,marea-1-bedroom-pool-villa,A4,1533702275809293491,https://www.airbnb.com/rooms/1533702275809293491,,,,,,live
Sora,sora-1-bedroom-pool-villa,A5,1533697045766713735,https://www.airbnb.com/rooms/1533697045766713735,,,,,,live
Luma,luma-1-bedroom-pool-villa,A6,1530353930561224901,https://www.airbnb.com/rooms/1530353930561224901,,,,,,live
Cove,cove-1-bedroom-pool-villa,A7,1530361440129666958,https://www.airbnb.com/rooms/1530361440129666958,,,,,,live
Tide,tide-1-bedroom-pool-villa,A8,1528724193523513788,https://www.airbnb.com/rooms/1528724193523513788,,,,,,live
Dune,dune-1-bedroom-pool-villa,B1,1647076484277431363,https://www.airbnb.com/rooms/1647076484277431363,,,,,,live
Halo,halo-1-bedroom-pool-villa,B2,1650058710181211040,https://www.airbnb.com/rooms/1650058710181211040,anjuna-b2-surf-amp-sunset-1br-villa-in-uluwatu,https://www.booking.com/hotel/id/anjuna-b2-surf-amp-sunset-1br-villa-in-uluwatu.en-gb.html,,,,live
Sunset,sunset-2-bedroom-pool-villa,A9,1528729828057732276,https://www.airbnb.com/rooms/1528729828057732276,,,,,,live
Karang,karang-2-bedroom-pool-villa,A10,1533707128133724727,https://www.airbnb.com/rooms/1533707128133724727,,,,,,live
Aruna,aruna-2-bedroom-pool-villa,A11,1528739961249716034,https://www.airbnb.com/rooms/1528739961249716034,,,,,,live
Selene,selene-2-bedroom-pool-villa,A12,1528745688294974781,https://www.airbnb.com/rooms/1528745688294974781,,,,,,live
Calma,calma-2-bedroom-pool-villa,A13,1528749163289022085,https://www.airbnb.com/rooms/1528749163289022085,,,,,,live
Neru,neru-2-bedroom-pool-villa,B5,1647106754271921496,https://www.airbnb.com/rooms/1647106754271921496,,,,,,live
Aster,aster-2-bedroom-pool-villa,B7,1668931400941321216,https://www.airbnb.com/rooms/1668931400941321216,,,,,,live
Maris,maris-2-bedroom-pool-villa,B8,1656184499485537054,https://www.airbnb.com/rooms/1656184499485537054,,,,,,live
Terra,terra-2-bedroom-pool-villa,B11,1652945111885072519,https://www.airbnb.com/rooms/1652945111885072519,anjuna-b11-surf-amp-sunset-2br-villa-in-uluwatu,https://www.booking.com/hotel/id/anjuna-b11-surf-amp-sunset-2br-villa-in-uluwatu.tr.html,,,,live
Elara,elara-2-bedroom-pool-villa,B12,1650052385341505024,https://www.airbnb.com/rooms/1650052385341505024,anjuna-b12-surf-amp-sunset-2br-villa-in-uluwatu,https://www.booking.com/hotel/id/anjuna-b12-surf-amp-sunset-2br-villa-in-uluwatu.html,134314841,https://www.trip.com/hotels/bali-hotel-detail-134314841/anjuna-b12-surf-sunset-2br-villa-in-uluwatu-a-luxury-private-villa-by-balinest-villas/,,live
Vela,vela-2-bedroom-pool-villa,B13,1650041864570731631,https://www.airbnb.com/rooms/1650041864570731631,anjuna-b13-surf-amp-sunset-2br-villa-in-uluwatu,https://www.booking.com/hotel/id/anjuna-b13-surf-amp-sunset-2br-villa-in-uluwatu.pt-br.html,134307691,https://nz.trip.com/hotels/bali-hotel-detail-134307691/anjuna-b13-surf-sunset-2br-villa-in-uluwatu-a-luxury-private-villa-by-balinest-villas/,,live
Horizon,horizon-3-bedroom-pool-villa,A14,1538886139016357544,https://www.airbnb.com/rooms/1538886139016357544,,,,,,live
Meridian,meridian-3-bedroom-pool-villa,A15,1538877998571031981,https://www.airbnb.com/rooms/1538877998571031981,,,,,,live
